evidence_id,source_phase,source_file,model_family,model_name,candidate_id,algorithm_regime,task,evaluation_level,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,stopping_policy,clean_or_oracle,official_claim_allowed,benchmark_relative_claim_allowed,n_predictions,n_readers,n_trials,n_prefix_rows,coverage,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,RMSE,MAE,R2,calibration_intercept,calibration_slope,CI_low,CI_high,p_value,notes
OperatingPointAdaptation_v1_oracle_diagnostic_0000_00089,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,LOPO,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,57.0,,,,,0.8947368421052632,0.8640879080588109,0.868421052631579,0.8492063492063492,0.115941634094159,,,,-0.5321293920730354,0.8693048353453224,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0001_00090,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,LOPO,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,57.0,,,,,0.8947368421052632,0.8640879080588109,0.868421052631579,0.8492063492063492,0.115941634094159,,,,-0.5321293920730354,0.8693048353453224,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0002_00091,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,AutoResearch_D3_FinalReaderProfile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,LOPO,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,57.0,,,,,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.115941634094159,,,,-0.5321293920730354,0.8693048353453224,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0003_00092,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.7955274671852212,0.5190186808837781,0.7502673796791444,0.7148855043591886,0.1773612581754122,,,,-1.143616405610994,0.5648873635960451,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0004_00093,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.7955274671852212,0.5190186808837781,0.7577540106951872,0.7463844057849507,0.1773612581754122,,,,-1.143616405610994,0.5648873635960451,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0005_00094,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.7955274671852212,0.5190186808837781,0.7379679144385027,0.6910468659912692,0.1773612581754123,,,,-1.143616405610994,0.5648873635960451,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0006_00095,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader_and_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,44.0,,,,,0.7916666666666666,0.6050739698751378,0.7552083333333333,0.7485714285714286,0.1794717774613309,,,,-0.8515100405393039,0.5629228265670446,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0007_00096,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader_and_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,44.0,,,,,0.7916666666666666,0.6050739698751378,0.7708333333333333,0.7708333333333333,0.1794717774613309,,,,-0.8515100405393039,0.5629228265670446,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0008_00097,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader_and_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,44.0,,,,,0.7916666666666666,0.6050739698751378,0.90625,0.8482758620689655,0.1794717774613309,,,,-0.8515100405393039,0.5629228265670446,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0009_00098,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.8284880894506563,0.5547798448721939,0.7711229946524064,0.731684434968017,0.1675926494208323,,,,-1.1637554856539192,0.690965279906972,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0010_00099,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.8284880894506563,0.5547798448721939,0.7711229946524064,0.731684434968017,0.1675926494208323,,,,-1.1637554856539192,0.690965279906972,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0011_00100,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,oracle_diagnostic,CopCo_TYP,trial_level,unseen_text,,,,D3_dfm_residual_gaze_only,,,,,,oracle,False,False,242.0,,,,,0.8284880894506563,0.5547798448721939,0.8614973262032085,0.8168371429189283,0.1675926494208324,,,,-1.1637554856539192,0.6909652799069721,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0012_00101,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,D3_EyeBench_Lite,candidate_0000,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_EyeBench_Lite,,,,,,oracle,False,False,3554.0,,,,,0.796404333960664,0.492661680738613,0.7306578924593556,0.6485955736531412,0.1906407989566722,,,,-1.3471230589673289,0.5273593980341867,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0013_00102,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,D3_EyeBench_Lite,candidate_0000,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_EyeBench_Lite,,,,,,oracle,False,False,3554.0,,,,,0.796404333960664,0.492661680738613,0.731032840591141,0.6648679392681647,0.1906407989566722,,,,-1.3471230589673289,0.5273593980341867,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
OperatingPointAdaptation_v1_oracle_diagnostic_0014_00103,OperatingPointAdaptation_v1,analysis/operating_point_adaptation_v1/test_oracle_threshold_metrics.csv,D3,D3_EyeBench_Lite,candidate_0000,oracle_diagnostic,CopCo_TYP,trial_level,unseen_reader,,,,D3_EyeBench_Lite,,,,,,oracle,False,False,3554.0,,,,,0.796404333960664,0.492661680738613,0.7463495770313745,0.6719034853780717,0.1906407989566722,,,,-1.3471230589673289,0.5273593980341867,,,,Test-label oracle diagnostic threshold; not clean benchmark evidence.
