evidence_id,source_phase,source_file,model_family,model_name,candidate_id,algorithm_regime,task,evaluation_level,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,stopping_policy,clean_or_oracle,official_claim_allowed,benchmark_relative_claim_allowed,n_predictions,n_readers,n_trials,n_prefix_rows,coverage,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,RMSE,MAE,R2,calibration_intercept,calibration_slope,CI_low,CI_high,p_value,notes
AutoResearch_v1_offline_full_profile_0000_00000,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,CopCo_TYP,reader_level,LOPO,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,57.0,,,,,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.115941634094159,,,,-0.5321293912845885,0.8693048814460835,,,,Main offline reader-profile result.
AutoResearch_v1_offline_full_profile_0000_00001,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D3,D1_dfm_exposure_only,D1_dfm_exposure_only,offline_full_profile,CopCo_TYP,reader_level,unknown,,,,D1_dfm_exposure_only,,,,,,clean,False,True,57.0,,,,,0.4238227146814405,0.3685105248065372,0.4473684210526315,0.4388694823753573,0.2683586211318551,,,,,,,,,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0001_00002,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D3,D2_dfm_sensitivity_only,D2_dfm_sensitivity_only,offline_full_profile,CopCo_TYP,reader_level,unknown,,,,D2_dfm_sensitivity_only,,,,,,clean,False,True,57.0,,,,,0.8891966759002771,0.8611317013776967,0.8421052631578947,0.8421052631578947,0.112953158698714,,,,,,,,,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0002_00003,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,CopCo_TYP,reader_level,unknown,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,57.0,,,,,0.8947368421052632,0.8640879080588109,0.8421052631578947,0.8421052631578947,0.115941634094159,,,,,,,,,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0003_00004,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D3,D4_dfm_exposure_plus_sensitivity,D4_dfm_exposure_plus_sensitivity,offline_full_profile,CopCo_TYP,reader_level,unknown,,,,D4_dfm_exposure_plus_sensitivity,,,,,,clean,False,True,57.0,,,,,0.8725761772853186,0.8560544368463932,0.8157894736842105,0.8074324324324325,0.1205825942582433,,,,,,,,,DFM exposure versus sensitivity/residual gaze ablation.
Phase4_bootstrap_auc_ci_00005,Phase4_confirmatory_v1,analysis/phase4_confirmatory/bootstrap_results.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,CopCo_TYP,reader_level,LOPO,,,,,,,,,,clean,False,True,,,,,,,,,,,,,,,,0.7764701991907874,0.9841269841269842,,Bootstrap ROC-AUC CI; fallback values preserved from phase summary if columns differ.
Phase4_permutation_p_value_00006,Phase4_confirmatory_v1,analysis/phase4_confirmatory/permutation_results.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,CopCo_TYP,reader_level,LOPO,,,,,,,,,,clean,False,True,,,,,,,,,,,,,,,,,,0.000999,Permutation p-value for final offline D3.
BenchmarkBridge_v1_unseen_reader_00007,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader,,,,,,,,,,clean,False,True,,,,,,0.8961218836565096,,0.8157894736842105,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_text_00008,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_text,,,,,,,,,,clean,False,True,,,,,,0.8284880894506563,,0.7443850267379679,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_reader_and_text_00009,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader_and_text,,,,,,,,,,clean,False,True,,,,,,0.8541666666666666,,0.7458333333333333,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
