evidence_id,source_phase,source_file,model_family,model_name,candidate_id,algorithm_regime,task,evaluation_level,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,stopping_policy,clean_or_oracle,official_claim_allowed,benchmark_relative_claim_allowed,n_predictions,n_readers,n_trials,n_prefix_rows,coverage,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,RMSE,MAE,R2,calibration_intercept,calibration_slope,CI_low,CI_high,p_value,notes
BenchmarkBridge_v1_unseen_reader_00007,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader,,,,,,,,,,clean,False,True,,,,,,0.8961218836565096,,0.8157894736842105,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_text_00008,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_text,,,,,,,,,,clean,False,True,,,,,,0.8284880894506563,,0.7443850267379679,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_reader_and_text_00009,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader_and_text,,,,,,,,,,clean,False,True,,,,,,0.8541666666666666,,0.7458333333333333,,,,,,,,,,,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,57.0,,,,,0.8961218836565096,0.8737669012394285,0.8157894736842105,0.8074324324324325,0.1325857880206321,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_text,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,242.0,,,,,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.1675926494208323,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,unseen_reader_and_text,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,34.0,,,,,0.8541666666666666,0.773968253968254,0.7458333333333333,0.7312252964426877,0.1501092056831028,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,text_balanced_unseen_reader,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,57.0,,,,,0.909972299168975,0.8978873314433282,0.8552631578947368,0.845945945945946,0.1233145003217947,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,leave_one_speech_out,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,242.0,,,,,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.1675926494208323,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,CopCo_TYP,reader_aggregated,participant_grouped_kfold,,,,D3_dfm_residual_gaze_only,,,,,,clean,False,True,57.0,,,,,0.909972299168975,0.8978873314433282,0.8552631578947368,0.845945945945946,0.1233145003217947,,,,,,,,,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
OfficialAlignment_v1_0_unseen_reader_00016,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,D3,D3_EyeBench_Lite,D3_EyeBench_Lite,official_fold_full_feature,CopCo_TYP,trial_level,unseen_reader,,,,,,,,,,clean,False,True,,,,,,,,,,,,,,,,,,,official_attempt_failed
