evidence_id,result_origin,result_scope,clean_or_oracle,official_claim_allowed,benchmark_relative_claim_allowed,notes
AutoResearch_v1_offline_full_profile_0000_00000,clean_evaluation,primary_completed_result,clean,False,True,Main offline reader-profile result.
AutoResearch_v1_offline_full_profile_0000_00001,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0001_00002,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0002_00003,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
AutoResearch_v1_offline_full_profile_0003_00004,clean_evaluation,primary_completed_result,clean,False,True,DFM exposure versus sensitivity/residual gaze ablation.
Phase4_bootstrap_auc_ci_00005,clean_evaluation,primary_completed_result,clean,False,True,Bootstrap ROC-AUC CI; fallback values preserved from phase summary if columns differ.
Phase4_permutation_p_value_00006,clean_evaluation,primary_completed_result,clean,False,True,Permutation p-value for final offline D3.
BenchmarkBridge_v1_unseen_reader_00007,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_text_00008,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_unseen_reader_and_text_00009,clean_evaluation,secondary_completed_result,clean,False,True,BenchmarkBridge internal EyeBench-style split.
BenchmarkBridge_v1_benchmark_bridge_full_data_0011_00010,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,clean_evaluation,secondary_completed_result,clean,False,True,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
OfficialAlignment_v1_0_unseen_reader_00016,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
OfficialAlignment_v1_0_unseen_text_00017,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
OfficialAlignment_v1_0_unseen_reader_and_text_00018,clean_evaluation,secondary_completed_result,clean,False,True,official_attempt_failed
