model_run_id,source_phase,source_file,model_name,candidate_id,algorithm_regime,result_origin,result_scope,clean_or_oracle,metric_rows,split_regimes,official_claim_allowed,benchmark_relative_claim_allowed
model_run_00000,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D1_dfm_exposure_only,D1_dfm_exposure_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,unknown,False,True
model_run_00001,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D2_dfm_sensitivity_only,D2_dfm_sensitivity_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,unknown,False,True
model_run_00002,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,unknown,False,True
model_run_00003,AutoResearch_v1,analysis/autoresearch_v1/tables/dfm_exposure_vs_sensitivity_table.csv,D4_dfm_exposure_plus_sensitivity,D4_dfm_exposure_plus_sensitivity,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,unknown,False,True
model_run_00004,AutoResearch_v1,analysis/autoresearch_v1/tables/final_model_metrics_table.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,offline_full_profile,clean_evaluation,primary_completed_result,clean,1,LOPO,False,True
model_run_00005,BenchmarkBridge_v1,analysis/benchmark_bridge_v1/tables/copco_typ_benchmark_comparison.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00006,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,benchmark_bridge_full_data,clean_evaluation,secondary_completed_result,clean,6,leave_one_speech_out;participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00007,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_calibration_metrics.csv,online_v1_legal_calibration,,online_prefix,clean_evaluation,deprecated_or_fast_run,clean,120,participant_grouped_kfold,False,True
model_run_00008,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,online_v1_legal_threshold,,online_prefix,clean_evaluation,deprecated_or_fast_run,clean,120,participant_grouped_kfold,False,True
model_run_00009,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/online_locked_test_results.csv,online_d3_0021,online_d3_0021,online_accumulator,clean_evaluation,deprecated_or_fast_run,clean,5,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00010,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_offline_all_full_evidence,v2_candidate_0000,offline_full_profile,clean_evaluation,primary_completed_result,clean,3,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader,False,True
model_run_00011,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_online_early_detection,v2_candidate_0031,online_prefix,clean_evaluation,secondary_completed_result,clean,5,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00012,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_online_late_accumulation,v2_candidate_0012,online_accumulator,clean_evaluation,secondary_completed_result,clean,5,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00013,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_online_mid_detection,v2_candidate_0019,online_prefix,clean_evaluation,secondary_completed_result,clean,5,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00014,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_online_stopping_detector,v2_candidate_0043,online_stopping,clean_evaluation,diagnostic_completed_result,clean,5,participant_grouped_kfold;text_balanced_unseen_reader;unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00015,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/strict_final_models.csv,best_unseen_text_specialist,unseen_text_rescue_04,unseen_text_specialist,clean_evaluation,diagnostic_completed_result,clean,1,unseen_text,False,True
model_run_00016,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/unseen_text_rescue_candidates.csv,unseen_text_specialist_rescue_candidate,unseen_text_rescue_00,unseen_text_specialist,clean_evaluation,diagnostic_completed_result,clean,1,unseen_text,False,True
model_run_00017,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/unseen_text_rescue_candidates.csv,unseen_text_specialist_rescue_candidate,unseen_text_rescue_03,unseen_text_specialist,clean_evaluation,diagnostic_completed_result,clean,1,unseen_text,False,True
model_run_00018,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/unseen_text_rescue_candidates.csv,unseen_text_specialist_rescue_candidate,unseen_text_rescue_04,unseen_text_specialist,clean_evaluation,diagnostic_completed_result,clean,1,unseen_text,False,True
model_run_00019,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/unseen_text_rescue_candidates.csv,unseen_text_specialist_rescue_candidate,unseen_text_rescue_05,unseen_text_specialist,clean_evaluation,diagnostic_completed_result,clean,1,unseen_text,False,True
model_run_00020,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_anchor,candidate_0000,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00021,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_full_official_extension,candidate_0011_c51e744a96,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00022,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_full_official_extension,candidate_0013_936f0c9788,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00023,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_full_official_extension,candidate_0014_3a7538097b,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00024,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_raw_gaze,candidate_0004_3f1cbc883e,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00025,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_raw_gaze,candidate_0009_89e1a1f5ed,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00026,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/reader_aggregated_metrics.csv,d3_lite_plus_raw_gaze,candidate_0010_99ae4c18ef,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00027,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,d3_lite_anchor,candidate_0000,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00028,D3_EyeBench_own_method_score_max_v2,analysis/d3_eyebench_own_method_score_max_v2/trial_metrics.csv,d3_lite_plus_full_official_extension,candidate_0013_936f0c9788,official_compatible_lite,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00029,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,AhnCNN~\citep{ahn2020towards},AhnCNN~\citep{ahn2020towards},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00030,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,AhnRNN~\citep{ahn2020towards},AhnRNN~\citep{ahn2020towards},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00031,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,BEyeLSTM~\citep{reich_inferring_2022},BEyeLSTM~\citep{reich_inferring_2022},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00032,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,D3_EyeBench_Lite,D3_EyeBench_Lite,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00033,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00034,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,True
model_run_00035,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,Logistic Regression~\cite{meziere2023using},Logistic Regression~\cite{meziere2023using},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00036,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,MAG-Eye~\citep{Shubi2024Finegrained},MAG-Eye~\citep{Shubi2024Finegrained},official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
model_run_00037,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,Majority Class / Chance,Majority Class / Chance,official_fold_full_feature,clean_evaluation,secondary_completed_result,clean,3,unseen_reader;unseen_reader_and_text;unseen_text,False,False
